Artikelnr.;Bezeichnung;Bezeichnung 5;Bezeichnung 8;Preis_VK2_Preis;GRUPPE;Freifeld 6;Freifeld 16;Freifeld 17
369M-M;100 KE (86-00) Wiseco;;Wiseco Kolben (369M);0;Kolbenkit;"master;1;Zylindermaß (mm)";Wiseco;Kolbenkit
369M04950;100 KE (86-00) Wiseco Ø49,5;;;80;Kolbenkit;369M-M;Wiseco;Kolbenkit
369M05000;100 KE (86-00) Wiseco Ø50,0;;;80;Kolbenkit;369M-M;Wiseco;Kolbenkit
369M05050;100 KE (86-00) Wiseco Ø50,5;;;80;Kolbenkit;369M-M;Wiseco;Kolbenkit
380M-M;250 RL/TM/TS (73-81) Wiseco;;Wiseco Kolben (380M);0;"Kolbenkit;Kolbenkit;Kolbenkit";"master;1;Zylindermaß (mm)";Wiseco;Kolbenkit
380M07000;250 RL/TM/TS (73-81) Wiseco Ø70,0;;;115,5;"Kolbenkit;Kolbenkit;Kolbenkit";380M-M;Wiseco;Kolbenkit
380M07050;250 RL/TM/TS (73-81) Wiseco Ø70,5;;;115,5;"Kolbenkit;Kolbenkit;Kolbenkit";380M-M;Wiseco;Kolbenkit
380M07100;250 RL/TM/TS (73-81) Wiseco Ø71,0;;;115,5;"Kolbenkit;Kolbenkit;Kolbenkit";380M-M;Wiseco;Kolbenkit
380M07150;250 RL/TM/TS (73-81) Wiseco Ø71,5;;;115,5;"Kolbenkit;Kolbenkit;Kolbenkit";380M-M;Wiseco;Kolbenkit
3AT;Porto + Verpackung  bis 3 kg  -GLS-Österreich-;;;11,9;alte Artikel#;;;
3NL;Porto + Verpackung  bis 3 kg  -GLS-BENELUX-;;;9,9;alte Artikel#;;;
400-;4-Zylinder Beschichtung;;;720;4-Zylinder;;;
400-AUTO;4-Zylinder reihe Beschichtung [Autoblock];;;1310;4-Zylinder Auto_Nicasil#;;;
400-INT;4-Zylinder Beschichtung mit integriertem Gehäuse;;;840;4-Zylinder;;;
400-INT-V4;4-Zylinder V4  Beschichtung mit integriertem Gehäuse;;;990;4-Zylinder;;;
40001-K01;400 DR-Z (00-23) /LT-Z/ KLX/KFX Cylinder Works Zyl.kit Ø90,0  400ccm;;Cylinder Works Zylinderkit (40001-K01);346,5;"Zylinderkit;Zylinderkit;Zylinderkit;Zylinderkit";;Cylinder Works;Zylinderkit
40001M-M;450 YZ-F (10-13) Wiseco;;Wiseco Kolben (40001M09700);0;Kolbenkit;"master;1;Kolbenmaß (mm)";Wiseco;Kolbenkit
40001M09700B;450 YZ-F (10-13) Wiseco Ø96,95;;;145;Kolbenkit;40001M-M;Wiseco;Kolbenkit
40001M09700C;450 YZ-F (10-13) Wiseco Ø96,96;;;145;Kolbenkit;40001M-M;Wiseco;Kolbenkit
40002-K01;450 LT-R (06-11) CW Zyl.kit Ø95,5  450ccm;;Cylinder Works Zylinderkit (40002-K01);368;Zylinderkit;;Cylinder Works;Zylinderkit
40002M09700;450 YZ-F (10-13) Wiseco HC Ø97,0;;Wiseco Kolben (40002M09700);157;Kolbenkit;;Wiseco;Kolbenkit
40003-K01;250 RM-Z (07-09) CW Zyl.kit Ø77,0  250ccm;;Cylinder Works Zylinderkit (40003-K01);348;Zylinderkit;;Cylinder Works;Zylinderkit
40003M07680-M;250 CRF-R (10-13) Wiseco;;Wiseco Kolben (40003M07680);0;Kolbenkit;"master;1;Kolbenmaß (mm)";Wiseco;Kolbenkit
40003M07680B;250 CRF-R (10-13) Wiseco Ø76,75;;;134,5;Kolbenkit;40003M07680-M;Wiseco;Kolbenkit
